ds,y
2023-07-29,30000.0
2023-07-30,30333.0
2023-07-31,29500.0
2023-08-01,29333.0
2023-08-02,29833.0
2023-08-03,30000.0
2023-08-04,30000.0
2023-08-05,30000.0
2023-08-06,30166.0
2023-08-07,29666.0
2023-08-08,29500.0
2023-08-09,29666.0
2023-08-10,29666.0
2023-08-11,29500.0
2023-08-12,29666.0
2023-08-13,29666.0
2023-08-14,29500.0
2023-08-15,29333.0
2023-08-16,29000.0
2023-08-17,29000.0
2023-08-18,28833.0
2023-08-19,28333.0
2023-08-20,28333.0
2023-08-21,28000.0
2023-08-22,27833.0
2023-08-23,27500.0
2023-08-24,27666.0
2023-08-25,27333.0
2023-08-26,27333.0
2023-08-27,27166.0
2023-08-28,27166.0
2023-08-29,26500.0
2023-08-30,25666.0
2023-08-31,25333.0
2023-09-01,25333.0
2023-09-02,25333.0
2023-09-03,25333.0
2023-09-04,25166.0
2023-09-05,26000.0
2023-09-06,26166.0
2023-09-07,26166.0
2023-09-08,26333.0
2023-09-09,26500.0
2023-09-10,26500.0
2023-09-11,26166.0
2023-09-12,26000.0
2023-09-13,26000.0
2023-09-14,26000.0
2023-09-15,26000.0
2023-09-16,26000.0
2023-09-17,26000.0
2023-09-18,25500.0
2023-09-19,25666.0
2023-09-20,25500.0
2023-09-21,25166.0
2023-09-22,25166.0
2023-09-23,25333.0
2023-09-24,25333.0
2023-09-25,25000.0
2023-09-26,25000.0
2023-09-27,25000.0
2023-09-28,25000.0
2023-09-29,25000.0
2023-09-30,24666.0
2023-10-01,24500.0
2023-10-02,24666.0
2023-10-03,24666.0
2023-10-04,25000.0
2023-10-05,25000.0
2023-10-06,25333.0
2023-10-07,25333.0
2023-10-08,25333.0
2023-10-09,25166.0
2023-10-10,25166.0
2023-10-11,25166.0
2023-10-12,25166.0
2023-10-13,25166.0
2023-10-14,25166.0
2023-10-15,25166.0
2023-10-16,25000.0
2023-10-17,25000.0
2023-10-18,25166.0
2023-10-19,25166.0
2023-10-20,25166.0
2023-10-21,25166.0
2023-10-22,25166.0
2023-10-23,25000.0
2023-10-24,24833.0
2023-10-25,24833.0
2023-10-26,24833.0
2023-10-27,24666.0
2023-10-28,24500.0
2023-10-29,24500.0
2023-10-30,24500.0
2023-10-31,24500.0
2023-11-01,24500.0
2023-11-02,24500.0
2023-11-03,24666.0
2023-11-04,24833.0
2023-11-05,24833.0
2023-11-06,25500.0
2023-11-07,25333.0
2023-11-08,25500.0
2023-11-09,25333.0
2023-11-10,26000.0
2023-11-11,26000.0
2023-11-12,26166.0
2023-11-13,26083.0
2023-11-14,25833.0
2023-11-15,26000.0
2023-11-16,26166.0
2023-11-17,26166.0
2023-11-18,26166.0
2023-11-19,26500.0
2023-11-20,26916.0
2023-11-21,26916.0
2023-11-22,27000.0
2023-11-23,26833.0
2023-11-24,27000.0
2023-11-25,26833.0
2023-11-26,26500.0
2023-11-27,26416.0
2023-11-28,26583.0
2023-11-29,26750.0
2023-11-30,26583.0
2023-12-01,26666.0
2023-12-02,26500.0
2023-12-03,26583.0
2023-12-04,26333.0
2023-12-05,26833.0
2023-12-06,26833.0
2023-12-07,26666.0
2023-12-08,26666.0
2023-12-09,26666.0
2023-12-10,26833.0
2023-12-11,26833.0
2023-12-12,26333.0
2023-12-13,26500.0
2023-12-14,26333.0
2023-12-15,26333.0
2023-12-16,26416.0
2023-12-17,26416.0
2023-12-18,26333.0
2023-12-19,26666.0
2023-12-20,26666.0
2023-12-21,26500.0
2023-12-22,26500.0
2023-12-23,26500.0
2023-12-24,26500.0
2023-12-25,26166.0
2023-12-26,26000.0
2023-12-27,25833.0
2023-12-28,25833.0
2023-12-29,25833.0
2023-12-30,26166.0
2023-12-31,26000.0
2024-01-01,26000.0
2024-01-02,25833.0
2024-01-03,25833.0
2024-01-04,25666.0
2024-01-05,25833.0
2024-01-06,25833.0
2024-01-07,25666.0
2024-01-08,25666.0
2024-01-09,25666.0
2024-01-10,25500.0
2024-01-11,25166.0
2024-01-12,25166.0
2024-01-13,25166.0
2024-01-14,25166.0
2024-01-15,25166.0
2024-01-16,25166.0
2024-01-17,25166.0
2024-01-18,25666.0
2024-01-19,26000.0
2024-01-20,26000.0
2024-01-21,26000.0
2024-01-22,26000.0
2024-01-23,26000.0
2024-01-24,26000.0
2024-01-25,26000.0
2024-01-26,26000.0
2024-01-27,26000.0
2024-01-28,26000.0
2024-01-29,26000.0
2024-01-30,26000.0
2024-01-31,26000.0
2024-02-01,25833.0
2024-02-02,25833.0
2024-02-03,25833.0
2024-02-04,25833.0
2024-02-05,25833.0
2024-02-06,25833.0
2024-02-07,26000.0
2024-02-08,26000.0
2024-02-09,26000.0
2024-02-10,26416.0
2024-02-11,26416.0
2024-02-12,26583.0
2024-02-13,26583.0
2024-02-14,26416.0
2024-02-15,26500.0
2024-02-16,26500.0
2024-02-17,26500.0
2024-02-18,26500.0
2024-02-19,26500.0
2024-02-20,27000.0
2024-02-21,27000.0
2024-02-22,27166.0
2024-02-23,27000.0
2024-02-24,27333.0
2024-02-25,27500.0
2024-02-26,28333.0
2024-02-27,29000.0
2024-02-28,29666.0
2024-02-29,30333.0
2024-03-01,30333.0
2024-03-02,30333.0
2024-03-03,30166.0
2024-03-04,30500.0
2024-03-05,31166.0
2024-03-06,30666.0
2024-03-07,30666.0
2024-03-08,30666.0
2024-03-09,30833.0
2024-03-10,31000.0
2024-03-11,31166.0
2024-03-12,31166.0
2024-03-13,31333.0
2024-03-14,31500.0
2024-03-15,31000.0
2024-03-16,31000.0
2024-03-17,31166.0
2024-03-18,31333.0
2024-03-19,31500.0
2024-03-20,31500.0
2024-03-21,31500.0
2024-03-22,31500.0
2024-03-23,31000.0
2024-03-24,30833.0
2024-03-25,28500.0
2024-03-26,28333.0
2024-03-27,28333.0
2024-03-28,28333.0
2024-03-29,28333.0
2024-03-30,28333.0
2024-03-31,28500.0
2024-04-01,28166.0
2024-04-02,28166.0
2024-04-03,27666.0
2024-04-04,27833.0
2024-04-05,27500.0
2024-04-06,27666.0
2024-04-07,27833.0
2024-04-08,27916.0
2024-04-09,28000.0
2024-04-10,28000.0
2024-04-11,28000.0
2024-04-12,28000.0
2024-04-13,27833.0
2024-04-14,27833.0
2024-04-15,28166.0
2024-04-16,27250.0
2024-04-17,27250.0
2024-04-18,27083.0
2024-04-19,27083.0
2024-04-20,27166.0
2024-04-21,27000.0
2024-04-22,27166.0
2024-04-23,27166.0
2024-04-24,27000.0
2024-04-25,27000.0
2024-04-26,27000.0
2024-04-27,27083.0
2024-04-28,27250.0
2024-04-29,27583.0
2024-04-30,27250.0
2024-05-01,27250.0
2024-05-02,28666.0
2024-05-03,29666.0
2024-05-04,29500.0
2024-05-05,29166.0
2024-05-06,28750.0
2024-05-07,29166.0
2024-05-08,29166.0
2024-05-09,28916.0
2024-05-10,28833.0
2024-05-11,28833.0
2024-05-12,29000.0
2024-05-13,29333.0
2024-05-14,29333.0
2024-05-15,29166.0
2024-05-16,29333.0
2024-05-17,29500.0
2024-05-18,29166.0
2024-05-19,29333.0
2024-05-20,29000.0
2024-05-21,28666.0
2024-05-22,28833.0
2024-05-23,28833.0
2024-05-24,28500.0
2024-05-25,28333.0
2024-05-26,28666.0
2024-05-27,28166.0
2024-05-28,28166.0
2024-05-29,28416.0
2024-05-30,28000.0
2024-05-31,28166.0
2024-06-01,28000.0
2024-06-02,28000.0
2024-06-03,27250.0
2024-06-04,27166.0
2024-06-05,27000.0
2024-06-06,26833.0
2024-06-07,26666.0
2024-06-08,26666.0
2024-06-09,26666.0
2024-06-10,26833.0
2024-06-11,27000.0
2024-06-12,27166.0
2024-06-13,27250.0
2024-06-14,27416.0
2024-06-15,27416.0
2024-06-16,27500.0
2024-06-17,27500.0
2024-06-18,27583.0
2024-06-19,27416.0
2024-06-20,27416.0
2024-06-21,27583.0
2024-06-22,27666.0
2024-06-23,27583.0
2024-06-24,27500.0
2024-06-25,27500.0
2024-06-27,27583.0
2024-06-28,27583.0
2024-06-29,27416.0
2024-06-30,27416.0
2024-07-01,27166.0
2024-07-02,27166.0
2024-07-03,27166.0
2024-07-04,27000.0
2024-07-05,27000.0
2024-07-06,27000.0
2024-07-07,27000.0
2024-07-08,27000.0
2024-07-09,27000.0
2024-07-10,27166.0
2024-07-11,27166.0
2024-07-12,27166.0
2024-07-13,27333.0
2024-07-14,27500.0
2024-07-15,27333.0
2024-07-16,27333.0
2024-07-17,27416.0
2024-07-18,27333.0
2024-07-19,27333.0
2024-07-20,27333.0
2024-07-21,27333.0
2024-07-22,27250.0
2024-07-23,27250.0
2024-07-24,27333.0
2024-07-25,27250.0
2024-07-26,27250.0
2024-07-27,27166.0
2024-07-28,27166.0
2024-07-29,27166.0
2024-07-30,27166.0
2024-07-31,27166.0
2024-08-01,27000.0
2024-08-02,27000.0
2024-08-03,27333.0
2024-08-04,27333.0
2024-08-05,26500.0
2024-08-06,26583.0
2024-08-07,26583.0
2024-08-08,26583.0
2024-08-09,26500.0
2024-08-10,26416.0
2024-08-11,26166.0
2024-08-12,26166.0
2024-08-13,26166.0
2024-08-14,26166.0
2024-08-15,26166.0
2024-08-16,26000.0
2024-08-17,26000.0
2024-08-19,25666.0
2024-08-20,25500.0
2024-08-21,25666.0
2024-08-22,25666.0
2024-08-23,25500.0
2024-08-24,25500.0
2024-08-25,26166.0
2024-08-26,25916.0
2024-08-27,25416.0
2024-08-28,25083.0
2024-08-29,25083.0
2024-08-30,25166.0
2024-08-31,25083.0
2024-09-01,25000.0
2024-09-03,25000.0
2024-09-04,25000.0
2024-09-05,25000.0
2024-09-06,25000.0
2024-09-07,25000.0
2024-09-08,25166.0
2024-09-09,25666.0
2024-09-10,25666.0
2024-09-11,25500.0
2024-09-12,25666.0
2024-09-13,25666.0
2024-09-14,26000.0
2024-09-15,25833.0
2024-09-16,25833.0
2024-09-17,25833.0
2024-09-18,25833.0
2024-09-19,25833.0
2024-09-20,25833.0
2024-09-21,25833.0
2024-09-22,26000.0
2024-09-23,25833.0
2024-09-24,25833.0
2024-09-25,25833.0
2024-09-26,25833.0
2024-09-27,26000.0
2024-09-28,26166.0
2024-09-29,25833.0
2024-09-30,25833.0
2024-10-01,25833.0
2024-10-02,26000.0
2024-10-03,26000.0
2024-10-04,26000.0
2024-10-05,26166.0
2024-10-06,26000.0
2024-10-07,26000.0
2024-10-08,26000.0
2024-10-09,26000.0
2024-10-10,26000.0
2024-10-11,26083.0
2024-10-12,26250.0
2024-10-13,26250.0
2024-10-14,26416.0
